NODE 1 a=1 test=3
NODE 2 a=1
NODE 3 a=1
NODE 4 a=1
NODE 5 a=1
NODE 6 a=1
NODE 7 a=1
NODE 8 a=1
NODE 9 a=1
NODE 10 a=1
NODE 11 a=1
NODE 12 a=1
NODE 13 a=1
NODE 14 a=1
NODE 15 a=1
NODE 16 a=1
NODE 17 a=1
NODE 18 a=1
NODE 19 a=1
NODE 20 a=1

ADD 1 4
ADD 1 5
ADD 2 5
ADD 2 6
ADD 3 6
ADD 3 7
ADD 3 8
ADD 4 9
ADD 4 10
ADD 6 11
ADD 6 12
ADD 7 13
ADD 8 13
ADD 9 14
ADD 9 15
ADD 9 16
ADD 11 17
ADD 12 17
ADD 12 18
ADD 12 19
ADD 13 18
ADD 13 19
ADD 13 20
ADD 5 11
ADD 8 12
ADD 6 10
ADD 11 14
ADD 11 15
ADD 11 16
